Time (UTC), Channel3
05/22/21 12:20:15, 
05/22/21 12:20:20, 
05/22/21 12:21:10, 
05/22/21 12:21:15, 
05/22/21 12:22:10, 
05/22/21 12:22:15, 
05/22/21 12:23:10, 
05/22/21 12:23:15, 
05/22/21 12:24:10, 
05/22/21 12:24:15, 
05/22/21 12:25:05, 
05/22/21 12:25:10, 
05/22/21 12:25:15, 
05/22/21 12:26:10, 
05/22/21 12:26:15, 
05/22/21 12:27:10, 
05/22/21 12:27:15, 
05/22/21 12:28:10, 
05/22/21 12:28:15, 
05/22/21 12:29:10, 
05/22/21 12:29:15, 
05/22/21 12:30:10, 
05/22/21 12:30:15, 
05/22/21 12:31:10, 
05/22/21 12:31:15, 
05/22/21 12:32:10, 
05/22/21 12:32:15, 
05/22/21 12:33:10, 
05/22/21 12:33:15, 
05/22/21 12:34:10, 
05/22/21 12:34:15, 
05/22/21 12:35:10, 
05/22/21 12:35:15, 
05/22/21 12:36:10, 
05/22/21 12:36:15, 
05/22/21 12:37:10, 
05/22/21 12:37:15, 
05/22/21 12:38:10, 
05/22/21 12:38:15, 
05/22/21 12:39:10, 
05/22/21 12:39:15, 
05/22/21 12:40:10, 
05/22/21 12:40:15, 
05/22/21 12:41:10, 
05/22/21 12:41:15, 
05/22/21 12:42:10, 
05/22/21 12:42:15, 
05/22/21 12:43:10, 
05/22/21 12:43:15, 
05/22/21 12:44:10, 
05/22/21 12:44:15, 
05/22/21 12:45:10, 
05/22/21 12:45:15, 
05/22/21 12:46:10, 
05/22/21 12:46:15, 
05/22/21 12:47:10, 
05/22/21 12:47:15, 
05/22/21 12:48:10, 
05/22/21 12:48:15, 
05/22/21 12:49:10, 
05/22/21 12:49:15, 
05/22/21 12:50:10, 
05/22/21 12:50:15, 
05/22/21 12:51:10, 
05/22/21 12:51:15, 
05/22/21 12:52:10, 
05/22/21 12:52:15, 
05/22/21 12:53:10, 
05/22/21 12:53:15, 
05/22/21 12:54:10, 
05/22/21 12:54:15, 
05/22/21 12:55:05, 
05/22/21 12:55:10, 
05/22/21 12:55:15, 
05/22/21 12:56:10, 
05/22/21 12:56:15, 
05/22/21 12:57:10, 
05/22/21 12:57:15, 
05/22/21 12:58:10, 
05/22/21 12:58:15, 
05/22/21 12:59:10, 
05/22/21 12:59:15, 
05/22/21 13:00:10, 
05/22/21 13:00:15, 
05/22/21 13:01:10, 
